year,grade,home_value,treatment,post_1968,treat_post
1930,A,297,0,0,0
1940,A,163,0,0,0
1950,A,158,0,0,0
1960,A,181,0,0,0
1970,A,172,0,1,0
1980,A,209,0,1,0
1990,A,357,0,1,0
2000,A,441,0,1,0
2010,A,230,0,1,0
1930,D,111,1,0,0
1940,D,55,1,0,0
1950,D,78,1,0,0
1960,D,93,1,0,0
1970,D,74,1,1,1
1980,D,82,1,1,1
1990,D,193,1,1,1
2000,D,241,1,1,1
2010,D,181,1,1,1
