county_geoid,county_name,year,total_pop,median_home_value,median_income,pct_poc
06001,Alameda,2009,1457095.0,581954.360455564,76208.09533764099,0.6292870403096572
06001,Alameda,2010,1477980.0,563586.7200056835,77201.0912481901,0.6485331330599873
06001,Alameda,2011,1494876.0,528918.492976675,78988.90923929476,0.6537853306896358
06001,Alameda,2012,1515136.0,491881.5337085252,79754.12893034024,0.6590537087099771
06001,Alameda,2013,1535248.0,477230.2456020135,80327.95265911435,0.6627489500067741
06001,Alameda,2014,1559308.0,487497.77422933764,81450.24247294312,0.6669195566238357
06001,Alameda,2015,1584983.0,526134.1552647568,83278.54106069276,0.6702128666364245
06001,Alameda,2016,1605217.0,573973.9576892096,87197.90177402805,0.6736908467827091
06001,Alameda,2017,1629615.0,628366.3583484442,93270.0844187124,0.6779110403377485
06001,Alameda,2018,1643700.0,692655.9985204113,100275.74824359677,0.6815775384802579
06001,Alameda,2019,1656754.0,756342.3833435742,106737.18516327711,0.6858634414040949
06001,Alameda,2020,1661584.0,808115.9933882367,112867.80840210305,0.6939167685774538
06001,Alameda,2021,1673133.0,854663.3301297625,120893.57004912342,0.701320815500023
06001,Alameda,2022,1663823.0,989484.3464437022,131837.880572032,0.7070289327650838
06013,Contra Costa,2009,1015571.0,574661.8785392651,84303.22304102815,0.4884168610564894
06013,Contra Costa,2010,1024809.0,539448.0821850706,85390.37206835616,0.5066290401430901
06013,Contra Costa,2011,1037817.0,489926.64838309644,86427.56409174258,0.5146494998636562
06013,Contra Costa,2012,1052047.0,448812.1638776595,86267.23033666748,0.5216477971041218
06013,Contra Costa,2013,1065794.0,432855.59154301864,87140.91831911233,0.5278946963484501
06013,Contra Costa,2014,1081232.0,440051.3133185107,88316.12943013155,0.5343136348165796
06013,Contra Costa,2015,1096068.0,466663.4758062456,89490.18980939139,0.5403432998682564
06013,Contra Costa,2016,1107925.0,503899.55646817246,93157.87296252002,0.5443807116907733
06013,Contra Costa,2017,1123678.0,555033.1402768409,99096.98821459529,0.5507449643047208
06013,Contra Costa,2018,1133247.0,606305.7955591324,104306.48165139639,0.5561858976904417
06013,Contra Costa,2019,1142251.0,651451.5895368006,110464.77915974685,0.561749562924436
06013,Contra Costa,2020,1147788.0,690207.6850428825,115365.49737320829,0.5738455185103869
06013,Contra Costa,2021,1161643.0,733633.2680832235,121990.13771959199,0.5837628255841081
06013,Contra Costa,2022,1162648.0,856067.6920847927,132182.09615980074,0.5942443456661002
06075,San Francisco,2009,797271.0,764790.9732236592,74286.22301199968,0.5535156803646439
06075,San Francisco,2010,789172.0,762270.0043184502,76145.57213509856,0.5792273420749849
06075,San Francisco,2011,797983.0,749353.8525294398,77623.97649949936,0.5804321645949851
06075,San Francisco,2012,807755.0,735509.7525326367,78524.81352142667,0.5822458542503606
06075,San Francisco,2013,817501.0,730967.6542805452,79986.7433642283,0.5827528039721053
06075,San Francisco,2014,829072.0,744814.0404657256,82731.32616226334,0.585840554258255
06075,San Francisco,2015,840763.0,800832.3781898109,85379.43402480842,0.5875984076368727
06075,San Francisco,2016,850282.0,874655.731380883,91700.47770857198,0.5882683627314232
06075,San Francisco,2017,864263.0,949809.3667066622,99980.5185562728,0.5915595137128398
06075,San Francisco,2018,870044.0,1042578.27822386,108659.60419702911,0.5935033170736193
06075,San Francisco,2019,874961.0,1126752.254690209,118049.60866255753,0.5949270881787874
06075,San Francisco,2020,874784.0,1152250.0044502413,124629.56615918901,0.6016742418699931
06075,San Francisco,2021,865933.0,1189794.6148362518,130936.09043886767,0.6084570053341309
06075,San Francisco,2022,851036.0,1308963.5863206726,142574.0666693301,0.6170549776977707
06081,San Mateo,2009,701886.0,759589.5763841992,90225.04963484098,0.5430924680076251
06081,San Mateo,2010,704327.0,755461.2340177218,92799.17734518199,0.5613131400613636
06081,San Mateo,2011,711622.0,737129.029306289,95297.7808668085,0.5686403736815332
06081,San Mateo,2012,721183.0,711122.4444988304,95314.33228736673,0.5750537658264269
06081,San Mateo,2013,729543.0,703273.1190539831,96415.81414255225,0.581450305191058
06081,San Mateo,2014,739837.0,713619.3557905322,99015.59856968494,0.5880457452114453
06081,San Mateo,2015,748731.0,824584.5585891329,100901.91377009901,0.5924223786647007
06081,San Mateo,2016,754748.0,893087.4511996057,105862.11856540196,0.5957286405528732
06081,San Mateo,2017,763450.0,977240.3329779292,115094.1128259873,0.6008238915449604
06081,San Mateo,2018,765935.0,1074248.634615209,122641.39893463545,0.6043437106281865
06081,San Mateo,2019,767423.0,1166402.1095849355,131544.90313034662,0.6076179629747871
06081,San Mateo,2020,765623.0,1246711.535998788,135389.33472871114,0.6144682173863638
06081,San Mateo,2021,762488.0,1297507.8812597706,144617.15007449297,0.6224570091594884
06081,San Mateo,2022,754250.0,1434872.0659741466,158452.11310838582,0.6298110705999337
06085,Santa Clara,2009,1729378.0,681694.5387179668,91011.50639015877,0.615518990064636
06085,Santa Clara,2010,1739396.0,668015.0529154948,92444.87042053678,0.6342230291434497
06085,Santa Clara,2011,1762754.0,645425.9557000012,94825.82953832469,0.6414054371738768
06085,Santa Clara,2012,1788393.0,620223.0863479113,95674.0158522204,0.6481875068846724
06085,Santa Clara,2013,1812208.0,607702.4009147957,96312.53605491202,0.6532351694728199
06085,Santa Clara,2014,1841569.0,627028.4124597015,98622.75641260251,0.659341572322297
06085,Santa Clara,2015,1868149.0,722596.0456483931,100743.84732855891,0.6641980912657395
06085,Santa Clara,2016,1885056.0,779943.8269653528,105942.27973121223,0.6683292167447545
06085,Santa Clara,2017,1911226.0,864150.9804120497,112884.0646501251,0.674415270616871
06085,Santa Clara,2018,1922200.0,954117.5799282072,121295.73686921236,0.6795796483196338
06085,Santa Clara,2019,1927470.0,1028781.8707777553,129041.38750642033,0.6846109148261711
06085,Santa Clara,2020,1924379.0,1088479.1687588568,135888.47888539627,0.6935925823343531
06085,Santa Clara,2021,1932022.0,1155095.8084592205,145322.45906723628,0.7014050564641603
06085,Santa Clara,2022,1916831.0,1296834.314301574,158580.96603612942,0.708314921868438
